Referencia;Descripción;Precio Compra;Stock
6;Celular ZTE A54 (300k);260000;0
11;Celular ZTE L220;145000;18
17;Celular Samsung A05 64GB;240000;5
18;Celular Samsung A05 128GB;295000;3
20;Tablet Fenix FLY  (300);260000;6
22;CELULAR MOTO G15 256GB;400000;1
23;Tablet Corn 32gb;190000;0
24;"Tablet Brigside 7"" (200k)";200000;1
25;Teclita Replica nokia 4g )70k);58000;2
26;Teclita Replica Samsung (80k);75000;3
27;Teclita Nokia 2G Original (60k);60000;1
28;Celular MOTO G05 128GB;300000;0
29;"Parlante ""3"" GTS -1817 12";8000;125
31;Celular Samsung A16 128GB;470000;2
35;Parlante MS- 2218BT  (18k);15000;29
36;Ventilador Torre  35;32000;6
37;Aro de luz mini selfie (8k);6000;12
39;Microfono karaoke ws-858  18;15000;37
40;"Parlante 8"" WF8003 (95k)";90000;0
42;celular mobula M1704 (60k);50000;1
46;COMBO RELOJ D96 PLUS  (65k);60000;0
47;bolsa de lujo para celular(10k);8000;7
48;OJITOS DE CÁMARAS;500;7261
49;reloj c900 ultra 2 (50k);45000;0
52;Palo selfie p50 con Bluetooth 10;6000;23
57;"Forro de tablet 8""(10k)";8000;11
59;Diademas Gamer Mk-2020 (48k);44000;4
60;Diademas Gamer Ps5 microfono (45k);40000;1
62;Diademas N-65 BT (22k);19000;145
63;Control 6 en 1 Play (38k);32000;1
64;Diademas unicornio KD-80 (44k);39000;3
66;Diademas Airmax 2 42;37000;2
67;Diademas JBL marcada (35k);27000;48
69;Diademas para niño minium DR- (40k);39000;13
71;Diademas Mickie mouse NM-09 (42k);38000;3
72;Diademas Mario AH-806Q (30);20000;12
73;Diademas P-47 (15k);13000;96
74;Diademas P-47 Gato (25k);20000;112
76;Celular REDMI A5 64gb;240000;4
77;Reloj S8 mini (25k);23000;2
80;Reloj MINI  68;63000;29
81;Reloj redondo LG73 Pro (65k);60000;0
87;Reloj T900 ultra 40;35000;13
88;Reloj W18 55;45000;2
91;Combo de reloj TIK95 (100k);90000;3
92;Parlante X- 811  (30k);25000;3
94;Parlante PLUSE 5 mini (35k);30000;2
95;Manos libres inalambricos i12 13;10500;133
96;Manos libres Serie 3  30;25000;7
97;Parlante PLUSE 4 mini  (30k);25000;5
100;Microfono Solapa K9 22;18000;31
101;microfono solapa K8 TC  (18k);14000;1
103;PARLANTE NIATEC NTPB - 28 400;385000;2
106;Manos libres pro 12 (30k);30000;2
108;"Televisor NIA 43"" 780";760000;0
110;Manos libres i12 originales (20k);20000;1
111;Manos libres xiaomi Buds 3 lite (16);13000;46
113;Camara IP66 (90k);83000;0
114;Camara V380 PRO (98k);94000;0
115;cuerda para los manos libres (3k);2000;6
117;Cargador 38w Tc-tc Samsung 13;11000;1
118;Cargador 38W Tc-tc Motorola  (18k);16000;0
120;Cargador xiaomi sencillo Usb-Tc (7.5k);6800;3
121;Cabezote 25w Samsung original (20k);16000;0
123;Cargador Samsung  v8  6;6000;30
124;Cargador Samsung TC(9k);8000;2
125;Cargador Paisa V8(7k);6500;7
126;Cargador Paisa TC(7.5k);6800;2
127;Cargador Raymi con adaptador  (3k);2500;100
129;Cargador xiaomi tipo V8 sencillo (7k);6500;23
130;Cargador TNLG TC(7.5k);7000;0
131;Cargador Samsung caja blanca  (6k);6000;10
132;Cargador Samsung Led(10924);5800;2
134;Cargador Samsung S10+ TC (6.5k);6000;3
135;Cargador V3 sencillo (3k);2500;0
136;Cable HDMI para celular (35k);28000;1
137;Cargador YS-0520 Parlante 9w(10k);7500;2
138;Cargador Muvitec 3.1 V8(7k);6500;0
140;Cargador 5W Iphone Normal(7k);6000;17
145;Baterias magsafe 5000A (40k);35000;1
146;Cargador Magsafe Para Iphone  (15k);12000;0
148;Cabezote 35w Iphone (20k);20000;8
149;Cargador 25W Iphone 14;11000;59
150;Combo teclado qs-1010 (30k);26000;1
153;Adaptador Iphone Auxiliar (15k);10000;7
154;Adaptador Iphone JH-010 (15k);13000;1
156;Cabezote Original Iphone 20W 45;28000;0
157;Cable Iphone Tc original 32;27000;108
160;Protector de camara y borde (5k);5000;15
161;Cargador Moto Turbo V8 6.5;6000;77
162;Cargador Moto Turbo TC 6.5;6000;27
164;Plugin de carro 38W triple puerto  8;6000;19
166;Cargador universal Sin pantalla (3k);2500;0
167;Cargador de puyita de 5V para (7k);6000;27
168;Cabezote Samsung 25w TC 9;6500;66
171;Cable magnetico 360(7k);5000;0
172;Cable Speedsong TC/V8 resorte (4k);4000;43
173;Cable V3 suelto 2;1000;43
174;Cable ChargerSync TC (3500);3000;0
176;Cable olaf 6A V8 (4500);2800;22
177;Cable olaf 6a TC 4;3000;92
179;Cable TC 120W  (8k);6000;1
180;POPIS  15;10000;44
181;Cable Iphone TC-TC 6;4000;109
182;Cable silicona TC (4k);3500;3
183;Cable linion 2 metros Iphone(7k);6000;6
184;Cable linion TC 2.4(5k);4000;49
188;Audifonos 1 JM-L7 (20k);17000;5
190;Audifonos oseo Iphone (30k);22000;0
191;Powerbank caja blanca 10,000  (28k);25000;12
192;Powerbank caja azul con blanco  (32k);28000;12
193;Powerbank AyF-901 6000 Mah (28k);25000;3
194;Soporte de laptop (15k);13500;1
195;Powerbank speedsong SG-2823  (35k);30000;1
197;Manos libres AKG resorte (4k);3500;172
198;Manos libres AKG TC-Tc (6k);5500;22
199;Manos libres AKG S10 caja azul 3.5;2500;224
200;Radio 4 Bandas  (32k);27000;1
201;Manos libres S5 2,5;2000;11
202;Manos libres Xiaomi topito 3.5;3000;264
204;"Parlante RAM 6.5""x2 RM- 2605  (290k)";270000;0
209;Radio de bolsillo K-252 (22k);18000;0
210;Radio 5 Bandas 38;30000;2
215;Teclita nokia 4g original (150k);120000;0
216;Diademas Air Max (40k);37000;6
218;Control Play 4 (40k);35000;8
219;Game Stick (48k);44000;4
221;TDT 40;38000;56
222;Juego con control inalambrico(50k);48000;3
224;Lampara para uña 48W (35k);30000;1
225;Proyector Portable S30  (160k);150000;0
226;Proyector de Astronauta 300  35;32000;6
229;Calculadora Kadio KD-100B  (8k);6500;7
230;Teclado K11 13;11000;2
233;Gramera SF-400 12;9000;5
234;Holder de carro RT-633(12k);8000;4
236;Holder de carro X-19(7k);5000;1
237;Control Gamer (10k);7000;3
239;Masajeador SL-505 28;24000;11
240;Camara V380 con panel solar  (200k);190000;7
241;Purificador Ducha Rx-021 (90k);85000;2
243;Soporte para microfono caja azul  (8k);7000;7
244;Calculadora Cientifica (27k);24000;2
247;Parlante MY275BT(110k);95000;2
248;Silicona Poco X6 5G Original (5k);4000;28
250;Parlante Marshall Stockwell II(60k);55000;1
252;Holder para moto y bicicleta  (15k);12000;8
253;Barra sonido Vnn-360S 50;45000;6
254;Parlante Boom Box 3 (165k);155000;0
256;Parlante Martech 3070(90k);85000;2
257;Barra de sonido JC-310(55k);50000;0
259;Camara 3 antenas 35;35000;11
260;Camara 5 antenas 45;45000;4
261;Parlante para computador E-15  (18k);12000;22
264;Mouse Gamer V5 (15k);12000;22
265;Maquina 3 en 1 22;18000;23
266;Set de arte 208 piezas (32k);26000;5
268;Repetidor wifi (45k);41000;0
270;Maquina motilar profesional (30);25000;10
274;Rizadora sencilla (13k);10000;0
278;Plancha VGR(55k);50000;8
279;Plancha aguacate 35;32000;6
280;Plancha keratina 36;32000;5
283;Aro luz 26cm 27;23000;9
284;Aro luz 33cm 3 tonos 32;28000;6
286;Diadema CAT stn-28  (30k);25000;19
287;Aro de luz RGB 26cm 32;26000;17
288;aro de luz RGB 33cm 37;32000;5
289;Humificador luna (24k);20000;5
290;Humificador REDONDO 15;11000;8
291;humificador KH071 (24k);20000;0
292;humificador KH075 (22k);18000;0
294;Humificador KM077  (18k);15000;4
295;Humificador de gato  (18k);16000;0
296;humificador H2O (17k);16000;1
298;Cable 3x3 1.5m 3;1500;31
300;Cable 2x1 1.5m 2.5;1500;77
303;Termo stanley;27000;34
304;Cable 3x1 1.5m 3;1500;52
306;cable HDMI 3m 7;5000;32
307;Cable HDMI 1.5m 5;4000;27
308;Cable grabadora 2.5;1800;19
312;Bluetooth carro A20P (6k);5500;8
313;Bluetooth carro USB  (8k);6000;23
314;Luces led 5m 15;12000;2
315;Luces led 5m con Bluetooth  18;14000;40
316;Mouse SENCILLO 5;3500;61
317;Mouse inalambrico Gamer 14;7500;8
319;Memoria Micro SD 4GB Kingston(6.2k);5800;36
320;Memoria Micro SD 8GB Kingston(7k);6800;35
321;Memoria Micro SD 16GB  8;7500;51
324;Memoria Micro SD 128GB  (20k);18000;6
328;Memoria USB 32GB Kingston 10;9500;65
329;Memoria USB 64GB Kingston(12k);11000;28
330;Memoria USB 128GB Kingston (20k);18000;41
332;Cargador de bolsa Xiaomi V8- (8k);6500;1
334;celular note 13 128gb (550k);530000;1
335;Lonchera electronica  (25k);22000;7
336;Vaso licuadora 13;10000;20
337;Pad mouse (6k);3000;0
338;Manos libres de bolsita Samsung (2800);2000;64
339;OTG 2.5;1500;13
340;Manos libres KBZ Samsung- (3500);3500;116
341;Protector de cargador Iphone 6;4500;182
343;Protector pro 2 con muñecos 7;5000;351
344;Maleta de Arte (45k);37000;2
345;Protector Airpods sencillo 6;4500;39
346;Manillas mi ban 5 (6k);4500;8
347;Manillas Smart watch de tela  (8k);6000;105
348;Manillas SmartWatch de plastico  (6k);5000;0
349;Manilla SmartWatch lisa(5k);3000;121
350;"Protector de tablet con manos 7"" (22k)";20000;7
351;"Protector de tablet pulpo 10""(12k)";8000;27
352;"Protector de tablet pulpo 8""(10k)";6000;4
353;Memoria Micro SD 4GB (7k);6500;53
354;Memoria Micro SD 8GB  (8k);7200;20
356;Memoria USB 4GB Horizonte 7;6100;66
357;Memoria USB 8GB Horizonte 7.5;6900;23
358;Memoria USB 16GB Horizonte 9.5;8700;19
359;Memoria USB 32GB Horizonte 12;11000;62
360;Memoria USB 64GB Horizonte 14;13000;73
362;"Parlante Martech 12"" MT-1810 (300k)";250000;3
367;"Parlante 8"" GTS-1950 de colores  (65k)";52000;0
369;"Parlante 6.5"" GTS-1222 25";20000;68
370;"Parlante Sofistek 10"" P-51 (350k)";310000;5
372;Parlante Vulcan Pro Niatec 230;210000;19
